PER,ENT,CON,R_DEF,PA1,PA2_1,PA2_1_1,PA2_H_1,PA2_H_2,PA2_H_3,PA2_H_4,PA2_H_5,PA2_H_6,PA2_H_7,PA2_H_8,PA2_H_9,PA2_2,PA2_2_1,PA2_M_1,PA2_M_2,PA2_M_3,PA2_M_4,PA2_M_5,PA2_M_6,PA2_M_7,PA2_M_8,PA2_M_9,PA3_1,PA3_1_1,PA3_2,PA3_2_1,PA3_3,PA3_3_1,PA4_1,PA4_2,PA4_3,PA4_4,PB1,PB2,PB3,PC1_1,PC1_2,PC1_3,PC1_4,PC2,PC3,PC4,PC5_1,PC5_2,PC5_3,PC6,PC7,PD1,PD2,PD3,PE1,PE2,PE3,PE4,PE5,PE5_1,PE6,PE7,PE8,PE9,PE10,PE10_1,PE11,PE12,PE12_1,PE13,PE14_1,PE14_2,PE14_3,PE14_4,PE15,PE16,PE17,PE18,PE19_1,PE19_2,PF1,PF2,PF3_1,PF3_2,PF3_3,PF3_4,PF3_5,PF3_6,PF4_1,PF4_1_1,PF5,PF6_1,PF6_2,PF6_3,PF6_4,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15_1,PF15_2,PF15_3,PF15_4,PF15_5,PF16,PG1,PG2,PG3_1,PG3_2,PG3_3,PG3_4,PG4,PG5_1,PG5_2,PG5_3,PG5_4,PG5_5,PG5_6,PG6_1,PG6_2,PG6_3,PG6_4,PG6_5,PG6_6,PG6_7,PG7,PG8,PG9,CLASE1,CLASE2,CLASE3,DISPOB,RAZ_DIS,POS_OCU,S_ACT,N_TRA,LOCAL,H_TRA_SR,A_SER_SAL,A_AUS_T,NO_TRA_HH,TRA_MEN,TRA_MAS,TRA_MEN35,PER_TRA,ING_DIS,F_VEN,INF_COV,POS_OCU2,S_ACT2,N_TRA2,LOCAL2,A_SER_SAL2,FAC_VIV,FAC_PER
320,06,06E12985,00,05,1,03,56,21,27,,,,,,,2,02,60,21,,,,,,,,1,04,2,02,,,,2,,,2,60,5,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,4,1,1,,,4,5,,1,2,3,4,,,,05,06,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,212,1768
320,16,06E12710,00,05,1,02,64,33,,,,,,,,2,03,55,28,10,,,,,,,1,02,2,01,3,01,1,2,,4,2,28,8,1,,,,1,,,,,,,,,,,2111,2,1,1,5611,6,1,4,,,1,15,2,1,40,05,1,,,,1,1,,,1,01,1,2,,,3,,5,,2,,,,,,4,1,1,1,1,1,2,,,,,,,5,2,2,1,,,,4,1,1,,,4,5,,1,2,3,4,5,,,02,03,2,1,1,0,0,0,1,6,1,1,2,1,4,2,1,0,1,2,1,2,1,0,0,0,0,0,1998,5222
320,06,06E12709,00,05,1,01,45,,,,,,,,,2,04,30,04,11,07,,,,,,1,01,2,01,3,03,,2,,4,1,45,3,1,,,,1,,,,,,,,,,,5313,2,1,1,5614,6,6,4,,,1,72,1,,,,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,3,2,1,2,,,,,,,5,2,2,2,,,,,1,1,2,,4,5,,1,2,3,4,5,,,02,05,1,1,1,0,0,0,1,6,6,1,5,1,4,0,0,0,0,2,2,3,1,0,0,0,0,0,475,1671
320,06,06E12879,00,01,,,,,,,,,,,,2,01,59,,,,,,,,,1,01,2,01,,,,,,,2,59,2,,,3,,1,,,,,,,,,,,9512,2,5,2,4652,5,1,5,4,2,1,21,1,,,,,2,,,4,2,1,5,3,,2,,,,,,,,,,,,,,,2,1,1,2,2,,,,1,,,,,2,2,1,,,,4,1,,2,,,,,1,,3,,,,,01,07,1,1,1,0,0,0,2,5,1,2,2,2,4,0,0,0,0,2,1,2,1,0,0,0,0,0,289,265
320,06,06E12883,00,05,1,02,16,60,,,,,,,,2,03,06,12,54,,,,,,,1,02,2,23,3,03,,2,,,2,54,3,1,,,,1,,,,,,,,,,,9411,2,1,1,7221,6,2,5,3,,1,48,1,,,,1,,,,4,1,,,1,06,2,,,,,,,,,,,,,,,1,2,2,2,1,2,,,,,,,5,2,1,1,,2,,,1,1,,,4,5,,1,2,3,4,,,,02,06,1,1,1,0,0,0,1,6,2,1,4,2,4,0,0,0,0,1,1,1,1,0,0,0,0,0,502,1345
320,06,06E12940,00,03,1,02,56,21,,,,,,,,2,01,52,,,,,,,,,1,02,2,01,3,01,,2,,,2,52,3,,,,4,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,,1,1,,,,,,1,2,3,4,,,,02,02,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,317,807
320,06,06E12983,00,06,1,03,14,43,63,,,,,,,2,03,09,15,73,,,,,,,1,02,2,04,3,03,1,2,3,,1,43,4,1,,,,1,,,,,,,,,,,8342,2,1,1,4850,6,1,5,4,4,1,78,2,1,72,07,1,,,,4,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,1,1,2,,,,,,,5,2,2,1,,2,,,1,,,,4,5,,,2,3,4,5,,,02,06,1,1,1,0,0,0,1,6,1,2,5,2,4,4,0,2,0,2,1,1,1,0,0,0,0,0,658,2290
320,06,06E12727,00,02,1,02,35,32,,,,,,,,,,,,,,,,,,,1,02,2,02,,,1,2,3,4,1,35,8,1,,,,1,,,,,,,,,,,5211,2,1,1,8121,6,2,5,3,,1,48,1,,,,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,2,2,2,,,,,1,,,,4,5,,1,2,3,4,5,,,02,06,1,1,1,0,0,0,1,6,2,1,4,1,4,0,0,0,0,2,2,3,1,0,0,0,0,0,577,764
320,06,06E12869,00,03,1,01,19,,,,,,,,,2,02,38,10,,,,,,,,1,01,2,01,3,02,,2,,,2,38,5,,,3,,1,,,,,,,,,,,5211,2,5,1,8121,6,1,5,3,,1,52,1,,,,,2,,,4,2,1,5,3,,2,,,,,,,,,,,,,,,1,2,1,1,2,,,,,,3,,,1,2,1,,2,,,1,,,,4,5,,1,2,3,4,5,,,01,03,2,1,1,0,0,0,2,6,1,1,5,2,4,0,0,0,0,2,1,1,1,0,0,0,0,0,427,922
320,06,06E12763,00,03,1,02,63,12,,,,,,,,2,01,51,,,,,,,,,1,02,2,02,3,01,,,,,2,51,2,,,3,,1,,,,,,,,,,,5114,2,5,2,7221,6,1,5,4,5,1,15,1,,,,,2,,,4,2,1,5,1,03,1,2,,,3,,,,2,,,,,,4,1,2,1,1,2,,,,,,,,5,2,1,1,,,,4,1,1,,,,,,1,2,3,4,,,,01,02,2,1,1,0,0,0,2,6,1,2,2,2,4,0,0,0,0,1,1,2,1,0,0,0,0,0,452,795
320,06,06E12800,00,04,1,02,14,39,,,,,,,,2,02,39,07,,,,,,,,1,02,2,02,3,02,1,2,,4,1,39,3,1,,,,1,,,,,,,,,,,7135,2,1,1,2382,6,5,4,,,1,45,1,,,,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,2,2,2,,,,,1,1,,,4,5,,1,2,3,4,,,,03,04,1,1,1,0,0,0,1,6,5,1,4,1,4,0,0,0,0,2,2,3,1,0,0,0,0,0,886,1337
320,06,06E12277,00,07,1,04,45,11,35,35,,,,,,2,03,68,30,30,,,,,,,1,02,2,03,3,01,,,,4,2,30,2,,,,4,,4,,,,,,,2,1,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,2,,,,6,1,2,3,4,,,,03,04,1,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,170,2136
320,06,06E12528,00,03,1,01,37,,,,,,,,,2,02,37,05,,,,,,,,1,01,2,02,3,01,,2,,4,2,37,8,,,,4,,4,,,,,,,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,,,,4,5,,1,2,3,4,,,,01,05,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,427,1061
320,06,06E12876,00,02,1,01,52,,,,,,,,,2,01,51,,,,,,,,,1,01,2,01,,,,2,,,1,52,3,,,3,,1,,,,,,,,,,,7132,2,5,2,2382,4,1,5,4,6,1,32,2,1,45,06,,2,,,4,2,1,5,3,,2,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,5,1,1,1,,,3,,1,1,,,4,5,,1,2,3,4,5,,,01,06,1,1,1,0,0,0,2,4,1,2,3,2,4,3,1,0,1,1,1,1,1,0,0,0,0,0,350,669
320,06,06E12776,00,05,1,01,46,,,,,,,,,2,04,85,58,32,99,,,,,,1,02,2,01,,,,,,,1,46,4,1,,,,1,,,,,,,,,,,2821,2,1,1,6239,6,2,5,1,,1,40,1,,,,1,,,,4,1,,,3,,2,,,,,,,,,,,,,,,1,1,1,2,1,2,,,,,,,5,2,2,2,,,,,1,1,2,,4,5,,,2,3,4,,,,01,05,1,1,1,0,0,0,1,6,2,1,4,2,4,0,0,0,0,2,2,3,1,0,0,0,0,0,253,1908
